bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
1.0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPr,4.57,439785960,9.78E+12,eng,652.0,2095690.0,27591,2006-09-16,Scholastic Inc.
2.0,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPr,4.49,439358078,9.78E+12,eng,870.0,2153167.0,29221,2004-09-01,Scholastic Inc.
4.0,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352.0,6333.0,244,2003-11-01,Scholastic
5.0,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPr,4.56,043965548X,9.78E+12,eng,435.0,2339585.0,36325,2004-05-01,Scholastic Inc.
8.0,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPr,4.78,439682584,9.78E+12,eng,2690.0,41428.0,164,2004-09-13,Scholastic
9.0,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152.0,19.0,1,2005-04-26,Nimble Books
10.0,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342.0,28242.0,808,2005-09-12,Scholastic
12.0,The Ultimate Hitchhiker s Guide: Five Complete Novels and One Story (Hitchhiker s Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815.0,3628.0,254,2005-11-01,Gramercy Books
13.0,The Ultimate Hitchhiker s Guide to the Galaxy (Hitchhiker s Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815.0,249558.0,4080,2002-04-30,Del Rey Books
14.0,The Hitchhiker s Guide to the Galaxy (Hitchhiker s Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215.0,4930.0,460,2004-08-03,Crown
16.0,The Hitchhiker s Guide to the Galaxy (Hitchhiker s Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9.78E+12,eng,6.0,1266.0,253,2005-03-23,Random House Audio
